frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
900.0,-4.5,1629.0,34497.0,76923000,21.68
900.0,-4.0,1614.0,31742.0,81661000,20.512
900.0,-3.5,1622.0,29319.0,89733000,20.089
900.0,-3.0,1611.0,27232.0,95304000,19.016
900.0,-2.5,1614.0,25136.0,103764000,18.452
900.0,-2.0,1621.0,23734.0,110712000,17.547
900.0,-1.5,1614.0,21975.0,120460000,17.015
900.0,-1.0,1608.0,20211.0,125873000,15.846
900.0,-0.5,1603.0,18794.0,136724000,15.341
900.0,0.0,1590.0,17373.0,145518000,14.552
912.0,-20.0,701.0,1000000.0,491000,4.91
912.0,-19.5,827.0,1000000.0,682000,6.078
912.0,-19.0,949.0,1000000.0,900000,7.149
912.0,-18.5,1083.0,1000000.0,1172000,8.297
912.0,-18.0,1199.0,1000000.0,1437000,9.067
912.0,-17.5,1322.0,1000000.0,1737000,9.768
912.0,-17.0,1442.0,1000000.0,2088000,10.465
912.0,-16.5,1561.0,1000000.0,2436000,10.881
912.0,-16.0,1641.0,898437.0,3000000,11.943
912.0,-15.5,1643.0,652343.0,4158000,14.753
912.0,-15.0,1630.0,492187.0,5398000,17.07
912.0,-14.5,1631.0,394531.0,6742000,19.002
912.0,-14.0,1626.0,320312.0,8254000,20.733
912.0,-13.5,1635.0,261718.0,9941000,22.255
912.0,-13.0,1614.0,222656.0,11699000,23.343
912.0,-12.5,1641.0,191406.0,14068000,25.017
912.0,-12.0,1611.0,160156.0,15844000,25.111
912.0,-11.5,1640.0,144531.0,18113000,25.585
912.0,-11.0,1578.0,121093.0,20563000,25.887
912.0,-10.5,1590.0,109375.0,24024000,26.955
912.0,-10.0,1607.0,97656.0,26444000,26.444
912.0,-9.5,1578.0,86173.0,29522000,26.312
912.0,-9.0,1631.0,80602.0,33003000,26.215
912.0,-8.5,1629.0,72435.0,35963000,25.46
912.0,-8.0,1617.0,65731.0,39778000,25.098
912.0,-7.5,1634.0,59908.0,44567000,25.062
912.0,-7.0,1629.0,54341.0,48833000,24.474
912.0,-6.5,1632.0,49706.0,52538000,23.468
912.0,-6.0,1629.0,45362.0,58499000,23.289
912.0,-5.5,1614.0,41655.0,62537000,22.189
912.0,-5.0,1638.0,38259.0,68004000,21.505
912.0,-4.5,1635.0,35526.0,75247000,21.207
912.0,-4.0,1635.0,32778.0,81655000,20.511
912.0,-3.5,1613.0,30013.0,86688000,19.407
912.0,-3.0,1610.0,27929.0,92810000,18.518
912.0,-2.5,1622.0,26185.0,100472000,17.867
912.0,-2.0,1630.0,24085.0,107489000,17.036
912.0,-1.5,1596.0,21975.0,115914000,16.373
912.0,-1.0,1617.0,20917.0,125777000,15.834
912.0,-0.5,1621.0,19503.0,134896000,15.136
912.0,0.0,1587.0,17729.0,142059000,14.206
925.0,-20.0,670.0,1000000.0,443000,4.43
925.0,-19.5,785.0,1000000.0,616000,5.49
925.0,-19.0,905.0,1000000.0,819000,6.506
925.0,-18.5,1034.0,1000000.0,1069000,7.568
925.0,-18.0,1152.0,1000000.0,1327000,8.373
925.0,-17.5,1280.0,1000000.0,1638000,9.211
925.0,-17.0,1397.0,1000000.0,1948000,9.763
925.0,-16.5,1515.0,1000000.0,2292000,10.238
925.0,-16.0,1636.0,1000000.0,2669000,10.625
925.0,-15.5,1642.0,730468.0,3691000,13.096
925.0,-15.0,1641.0,554687.0,4854000,15.35
925.0,-14.5,1633.0,429687.0,6206000,17.491
925.0,-14.0,1631.0,347656.0,7661000,19.244
925.0,-13.5,1623.0,285156.0,9478000,21.219
925.0,-13.0,1623.0,238281.0,11000000,21.948
925.0,-12.5,1629.0,203125.0,12952000,23.032
925.0,-12.0,1620.0,171875.0,15269000,24.2
925.0,-11.5,1584.0,144531.0,17690000,24.988
925.0,-11.0,1590.0,128906.0,19611000,24.689
925.0,-10.5,1587.0,113281.0,22967000,25.769
925.0,-10.0,1623.0,101562.0,25017000,25.017
925.0,-9.5,1939.0,84941.0,28500000,25.401
925.0,-9.0,1617.0,83086.0,31469000,24.997
925.0,-8.5,1628.0,74332.0,34915000,24.718
925.0,-8.0,1630.0,67336.0,39457000,24.896
925.0,-7.5,1614.0,61208.0,42559000,23.933
925.0,-7.0,1629.0,55656.0,46805000,23.458
925.0,-6.5,1636.0,51035.0,52444000,23.426
925.0,-6.0,1614.0,46368.0,56180000,22.366
925.0,-5.5,1620.0,42669.0,63496000,22.529
925.0,-5.0,1649.0,39280.0,69226000,21.891
925.0,-4.5,1627.0,35869.0,72625000,20.469
925.0,-4.0,1642.0,33122.0,81401000,20.447
925.0,-3.5,1608.0,30359.0,86445000,19.353
925.0,-3.0,1615.0,28277.0,92238000,18.404
925.0,-2.5,1621.0,26534.0,98662000,17.545
925.0,-2.0,1608.0,24435.0,108600000,17.212
925.0,-1.5,1604.0,22679.0,113444000,16.024
925.0,-1.0,1605.0,20917.0,123154000,15.504
925.0,-0.5,1605.0,19503.0,132083000,14.82
925.0,0.0,1610.0,18439.0,140402000,14.04
937.0,-20.0,672.0,1000000.0,451000,4.51
937.0,-19.5,790.0,1000000.0,630000,5.615
937.0,-19.0,909.0,1000000.0,826000,6.561
937.0,-18.5,1026.0,1000000.0,1052000,7.448
937.0,-18.0,1152.0,1000000.0,1327000,8.373
937.0,-17.5,1276.0,1000000.0,1633000,9.183
937.0,-17.0,1391.0,1000000.0,1934000,9.693
937.0,-16.5,1511.0,1000000.0,2289000,10.225
937.0,-16.0,1627.0,1000000.0,2653000,10.562
937.0,-15.5,1642.0,742187.0,3632000,12.887
937.0,-15.0,1636.0,570312.0,4693000,14.841
937.0,-14.5,1637.0,441406.0,6108000,17.215
937.0,-14.0,1641.0,355468.0,7575000,19.028
937.0,-13.5,1640.0,289062.0,9304000,20.829
937.0,-13.0,1629.0,242187.0,10849000,21.647
937.0,-12.5,1619.0,203125.0,12888000,22.918
937.0,-12.0,1611.0,175781.0,15040000,23.837
937.0,-11.5,1641.0,152343.0,17676000,24.968
937.0,-11.0,1577.0,128906.0,19292000,24.287
937.0,-10.5,1604.0,117187.0,22312000,25.034
937.0,-10.0,1582.0,101562.0,24642000,24.642
937.0,-9.5,1551.0,85249.0,25937000,23.116
937.0,-9.0,1645.0,84323.0,30969000,24.6
937.0,-8.5,1617.0,75908.0,34445000,24.385
937.0,-8.0,1644.0,68296.0,39573000,24.969
937.0,-7.5,1635.0,62505.0,42768000,24.05
937.0,-7.0,1619.0,56641.0,46219000,23.164
937.0,-6.5,1620.0,51698.0,50764000,22.675
937.0,-6.0,1628.0,47038.0,56345000,22.431
937.0,-5.5,1635.0,43344.0,61674000,21.883
937.0,-5.0,1630.0,39621.0,67057000,21.205
937.0,-4.5,1620.0,36554.0,71706000,20.209
937.0,-4.0,1626.0,33810.0,78198000,19.642
937.0,-3.5,1613.0,31051.0,85460000,19.132
937.0,-3.0,1623.0,28972.0,90919000,18.141
937.0,-2.5,1635.0,26883.0,99560000,17.705
937.0,-2.0,1635.0,24786.0,105360000,16.698
937.0,-1.5,1615.0,23032.0,113243000,15.996
937.0,-1.0,1615.0,21270.0,122776000,15.457
937.0,-0.5,1618.0,19856.0,130058000,14.593
937.0,0.0,1611.0,18439.0,140751000,14.075
950.0,-20.0,681.0,1000000.0,462000,4.62
950.0,-19.5,795.0,1000000.0,632000,5.633
950.0,-19.0,911.0,1000000.0,829000,6.585
950.0,-18.5,1033.0,1000000.0,1067000,7.554
950.0,-18.0,1156.0,1000000.0,1324000,8.354
950.0,-17.5,1273.0,1000000.0,1617000,9.093
950.0,-17.0,1392.0,1000000.0,1948000,9.763
950.0,-16.5,1507.0,1000000.0,2271000,10.144
950.0,-16.0,1624.0,1000000.0,2637000,10.498
950.0,-15.5,1640.0,753906.0,3567000,12.656
950.0,-15.0,1642.0,578125.0,4629000,14.638
950.0,-14.5,1627.0,449218.0,5892000,16.606
950.0,-14.0,1633.0,363281.0,7304000,18.347
950.0,-13.5,1634.0,296875.0,8993000,20.133
950.0,-13.0,1633.0,250000.0,10666000,21.281
950.0,-12.5,1618.0,210937.0,12410000,22.068
